time_s,leg,north_m,east_m,along_m,cross_m,agl_ft,altitude_ft,speed_kts,vertical_speed_fps,heading_deg,pitch_deg,roll_deg,aileron_cmd,elevator_cmd,rudder_cmd,throttle_cmd,flaps_cmd,gear_cmd,brake_cmd
0.084,Upwind,0.088,0.000,0.000,0.000,3.691,3.691,1.077,0.002,0.000,0.454,0.000,0.0000,0.0096,0.0000,0.0000,0.5000,1.0000,1.0000
0.224,Upwind,0.144,0.000,0.056,0.000,3.691,3.691,0.326,0.017,0.000,0.412,0.000,0.0000,0.0306,0.0000,0.0000,0.5000,1.0000,1.0000
0.432,Upwind,0.145,0.000,0.057,0.000,3.702,3.702,0.033,0.052,0.000,0.337,0.000,0.0000,0.0552,0.0000,0.0000,0.5000,1.0000,1.0000
0.637,Upwind,0.143,0.000,0.056,0.000,3.699,3.699,0.048,-0.076,0.000,0.426,0.000,0.0000,0.0659,0.0000,0.0000,0.5000,1.0000,1.0000
0.854,Upwind,0.143,0.000,0.055,0.000,3.685,3.686,0.017,-0.028,0.000,0.467,0.000,0.0000,0.0645,0.0000,0.0000,0.5000,1.0000,1.0000
1.029,Upwind,0.145,0.000,0.057,0.000,3.687,3.687,0.041,0.024,0.000,0.456,0.000,0.0000,0.0624,0.0000,0.0875,0.5000,1.0000,0.0000
1.245,Upwind,0.153,0.000,0.066,0.000,3.691,3.691,0.088,0.010,0.000,0.445,0.000,0.0000,0.0624,0.0000,0.1958,0.5000,1.0000,0.0000
# disengaged
