time_s,leg,north_m,east_m,along_m,cross_m,agl_ft,altitude_ft,speed_kts,vertical_speed_fps,heading_deg,pitch_deg,roll_deg,aileron_cmd,elevator_cmd,rudder_cmd,throttle_cmd,flaps_cmd,gear_cmd,brake_cmd
0.000,Upwind,0.247,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.449,0.000,0.0000,0.0022,0.0000,0.1774,0.5000,1.0000,1.0000
0.190,Upwind,0.247,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.449,0.000,0.0000,0.0307,0.0000,0.0827,0.5000,1.0000,1.0000
0.391,Upwind,0.247,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.449,0.000,0.0000,0.0609,0.0000,0.0000,0.5000,1.0000,1.0000
0.592,Upwind,0.247,0.000,0.000,0.000,3.691,3.691,0.000,-0.001,0.000,0.450,0.000,0.0000,0.0630,0.0000,0.0000,0.5000,1.0000,1.0000
0.792,Upwind,0.247,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,0.0176,0.5000,1.0000,0.0000
0.995,Upwind,0.247,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.1191,0.5000,1.0000,0.0000
1.192,Upwind,0.247,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.2174,0.5000,1.0000,0.0000
1.393,Upwind,0.247,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.3183,0.5000,1.0000,0.0000
1.590,Upwind,0.247,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.4167,0.5000,1.0000,0.0000
1.785,Upwind,0.247,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.5142,0.5000,1.0000,0.0000
2.008,Upwind,0.247,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.449,0.000,0.0000,0.0628,0.0000,0.6255,0.5000,1.0000,0.0000
2.195,Upwind,0.247,0.000,0.000,0.000,3.691,3.691,0.002,0.000,0.000,0.449,0.000,0.0000,0.0628,0.0000,0.7189,0.5000,1.0000,0.0000
2.391,Upwind,0.247,0.000,0.001,0.000,3.691,3.691,0.011,0.000,0.000,0.449,0.000,0.0000,0.0628,0.0000,0.8172,0.5000,1.0000,0.0000
2.597,Upwind,0.249,0.000,0.003,0.000,3.691,3.691,0.028,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.9203,0.5000,1.0000,0.0000
2.787,Upwind,0.254,0.000,0.007,0.000,3.691,3.691,0.056,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
2.988,Upwind,0.262,0.000,0.015,0.000,3.691,3.691,0.097,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
3.194,Upwind,0.275,0.000,0.029,0.000,3.691,3.691,0.153,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
3.388,Upwind,0.295,0.000,0.049,0.000,3.691,3.691,0.227,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
3.586,Upwind,0.324,0.000,0.077,0.000,3.691,3.691,0.323,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
3.795,Upwind,0.364,0.000,0.118,0.000,3.691,3.691,0.443,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
3.996,Upwind,0.419,0.000,0.172,0.000,3.691,3.691,0.593,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
4.185,Upwind,0.484,0.000,0.237,0.000,3.691,3.691,0.777,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
4.387,Upwind,0.583,0.000,0.337,0.000,3.691,3.691,1.001,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
4.590,Upwind,0.702,0.000,0.456,0.000,3.691,3.691,1.272,0.000,0.000,0.450,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
4.795,Upwind,0.852,0.000,0.606,0.000,3.691,3.691,1.596,0.000,0.000,0.450,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
4.995,Upwind,1.039,0.000,0.792,0.000,3.691,3.691,1.982,0.000,0.000,0.451,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
5.192,Upwind,1.270,0.000,1.023,0.000,3.691,3.691,2.436,0.000,0.000,0.451,0.000,0.0000,0.0632,0.0000,1.0000,0.5000,1.0000,0.0000
5.386,Upwind,1.551,0.000,1.305,0.000,3.691,3.691,2.968,0.000,0.000,0.452,0.000,0.0000,0.0633,0.0000,1.0000,0.5000,1.0000,0.0000
5.594,Upwind,1.893,0.000,1.646,0.000,3.691,3.691,3.585,0.000,0.000,0.452,0.000,0.0000,0.0633,0.0000,1.0000,0.5000,1.0000,0.0000
5.788,Upwind,2.304,0.000,2.057,0.000,3.691,3.691,4.295,0.000,0.000,0.452,0.000,0.0000,0.0634,0.0000,1.0000,0.5000,1.0000,0.0000
6.000,Upwind,2.793,0.000,2.547,0.000,3.691,3.691,5.106,0.000,0.000,0.453,0.000,0.0000,0.0634,0.0000,1.0000,0.5000,1.0000,0.0000
6.185,Upwind,3.321,0.000,3.074,0.000,3.691,3.691,6.025,0.000,0.000,0.453,0.000,0.0000,0.0635,0.0000,1.0000,0.5000,1.0000,0.0000
6.393,Upwind,4.054,0.000,3.807,0.000,3.691,3.691,7.058,0.000,0.000,0.454,0.000,0.0000,0.0636,0.0000,1.0000,0.5000,1.0000,0.0000
6.587,Upwind,4.849,0.000,4.602,0.000,3.691,3.691,8.213,0.001,0.000,0.454,0.000,0.0000,0.0637,0.0000,1.0000,0.5000,1.0000,0.0000
6.788,Upwind,5.769,0.000,5.522,0.000,3.691,3.691,9.480,0.001,0.000,0.455,0.000,0.0000,0.0637,0.0000,1.0000,0.5000,1.0000,0.0000
6.996,Upwind,6.822,0.000,6.575,0.000,3.691,3.691,10.765,0.001,0.000,0.455,0.000,0.0000,0.0636,0.0000,1.0000,0.5000,1.0000,0.0000
7.190,Upwind,8.006,0.000,7.760,0.000,3.691,3.692,12.049,0.001,0.000,0.454,0.000,0.0000,0.0636,0.0000,1.0000,0.5000,1.0000,0.0000
7.392,Upwind,9.323,0.000,9.077,0.000,3.692,3.692,13.332,0.001,0.000,0.454,0.000,0.0000,0.0635,0.0000,1.0000,0.5000,1.0000,0.0000
7.593,Upwind,10.772,0.000,10.525,0.000,3.692,3.692,14.614,0.001,0.000,0.454,0.000,0.0000,0.0635,0.0000,1.0000,0.5000,1.0000,0.0000
7.794,Upwind,12.352,0.000,12.106,0.000,3.692,3.692,15.895,0.001,0.000,0.453,0.000,0.0000,0.0634,0.0000,1.0000,0.5000,1.0000,0.0000
8.005,Upwind,14.213,0.000,13.967,0.000,3.693,3.693,17.175,0.002,0.000,0.453,0.000,0.0000,0.0634,0.0000,1.0000,0.5000,1.0000,0.0000
8.188,Upwind,15.909,0.000,15.662,0.000,3.693,3.693,18.454,0.002,0.000,0.453,0.000,0.0000,0.0633,0.0000,1.0000,0.5000,1.0000,0.0000
8.397,Upwind,17.884,0.000,17.638,0.000,3.693,3.693,19.731,0.002,0.000,0.452,0.000,0.0000,0.0632,0.0000,1.0000,0.5000,1.0000,0.0000
8.589,Upwind,19.991,0.000,19.745,0.000,3.694,3.694,21.008,0.002,0.000,0.452,0.000,0.0000,0.0632,0.0000,1.0000,0.5000,1.0000,0.0000
8.786,Upwind,22.229,0.000,21.983,0.000,3.694,3.694,22.283,0.002,0.000,0.451,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
8.988,Upwind,24.598,0.000,24.352,0.000,3.694,3.694,23.557,0.002,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
9.186,Upwind,26.885,0.000,26.639,0.000,3.695,3.695,24.829,0.003,0.000,0.450,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
9.390,Upwind,29.730,0.000,29.483,0.000,3.696,3.696,26.101,0.003,0.000,0.449,0.000,0.0000,0.0628,0.0000,1.0000,0.5000,1.0000,0.0000
9.595,Upwind,32.492,0.000,32.245,0.000,3.696,3.696,27.371,0.003,0.000,0.448,0.000,0.0000,0.0627,0.0000,1.0000,0.5000,1.0000,0.0000
9.794,Upwind,35.384,0.000,35.137,0.000,3.697,3.697,28.640,0.003,0.000,0.447,0.000,0.0000,0.0625,0.0000,1.0000,0.5000,1.0000,0.0000
9.994,Upwind,38.407,0.000,38.160,0.000,3.697,3.697,29.907,0.004,0.000,0.446,0.000,0.0000,0.0624,0.0000,1.0000,0.5000,1.0000,0.0000
10.192,Upwind,41.560,0.000,41.314,0.000,3.698,3.698,31.173,0.004,0.000,0.446,0.000,0.0000,0.0623,0.0000,1.0000,0.5000,1.0000,0.0000
10.386,Upwind,44.565,0.001,44.318,0.001,3.699,3.699,32.437,0.004,0.000,0.445,0.000,0.0000,0.0621,0.0000,1.0000,0.5000,1.0000,0.0000
10.592,Upwind,48.257,0.001,48.010,0.001,3.700,3.700,33.700,0.004,0.000,0.444,0.000,0.0000,0.0620,0.0000,1.0000,0.5000,1.0000,0.0000
10.789,Upwind,51.800,0.001,51.553,0.001,3.700,3.701,34.962,0.004,0.000,0.442,0.000,0.0000,0.0618,0.0000,1.0000,0.5000,1.0000,0.0000
10.999,Upwind,55.473,0.001,55.226,0.001,3.701,3.701,36.221,0.005,0.000,0.441,0.000,0.0000,0.0616,0.0000,1.0000,0.5000,1.0000,0.0000
11.197,Upwind,59.275,0.001,59.029,0.001,3.702,3.702,37.480,0.005,0.000,0.440,0.000,0.0000,0.0615,0.0000,1.0000,0.5000,1.0000,0.0000
11.390,Upwind,63.207,0.001,62.961,0.001,3.703,3.703,38.737,0.005,0.000,0.439,0.000,0.0000,0.0613,0.0000,1.0000,0.5000,1.0000,0.0000
11.595,Upwind,67.268,0.001,67.022,0.001,3.704,3.704,39.992,0.005,0.000,0.437,0.000,0.0000,0.0611,0.0000,1.0000,0.5000,1.0000,0.0000
11.792,Upwind,71.459,0.001,71.212,0.001,3.705,3.705,41.245,0.006,0.000,0.436,0.000,0.0000,0.0609,0.0000,1.0000,0.5000,1.0000,0.0000
11.992,Upwind,75.778,0.001,75.531,0.001,3.707,3.707,42.497,0.006,0.000,0.434,0.000,0.0000,0.0607,0.0000,1.0000,0.5000,1.0000,0.0000
12.185,Upwind,79.850,0.001,79.603,0.001,3.708,3.708,43.746,0.006,0.000,0.433,0.000,0.0000,0.0604,0.0000,1.0000,0.5000,1.0000,0.0000
12.398,Upwind,84.801,0.001,84.555,0.001,3.709,3.709,44.994,0.007,0.000,0.431,0.000,0.0000,0.0602,0.0000,1.0000,0.5000,1.0000,0.0000
12.594,Upwind,89.506,0.002,89.259,0.002,3.711,3.711,46.240,0.007,0.000,0.429,0.000,-0.0001,0.0599,0.0000,1.0000,0.5000,1.0000,0.0000
12.793,Upwind,94.338,0.002,94.092,0.002,3.712,3.712,47.484,0.008,0.000,0.427,0.000,-0.0001,0.0596,0.0000,1.0000,0.5000,1.0000,0.0000
12.994,Upwind,99.299,0.002,99.052,0.002,3.714,3.714,48.727,0.008,0.000,0.425,0.000,-0.0001,0.0593,0.0000,1.0000,0.5000,1.0000,0.0000
13.195,Upwind,104.387,0.002,104.140,0.002,3.715,3.715,49.966,0.009,0.000,0.423,0.000,-0.0001,0.0590,0.0000,1.0000,0.5000,1.0000,0.0000
13.390,Upwind,109.602,0.002,109.356,0.002,3.717,3.717,51.204,0.009,0.001,0.421,0.000,-0.0001,0.0587,0.0000,1.0000,0.5000,1.0000,0.0000
