time_s,leg,north_m,east_m,along_m,cross_m,agl_ft,altitude_ft,speed_kts,vertical_speed_fps,heading_deg,pitch_deg,roll_deg,aileron_cmd,elevator_cmd,rudder_cmd,throttle_cmd,flaps_cmd,gear_cmd,brake_cmd
0.155,Upwind,0.194,0.000,0.000,0.000,3.691,3.691,1.367,0.001,0.000,0.454,0.000,0.0000,0.0634,0.0000,0.0674,0.5000,1.0000,0.0000
0.290,Upwind,0.331,0.000,0.136,0.000,3.691,3.691,2.080,0.000,0.000,0.452,0.000,0.0000,0.0630,0.0000,0.1348,0.5000,1.0000,0.0000
0.429,Upwind,0.489,0.000,0.294,0.000,3.691,3.691,2.373,0.001,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.2047,0.5000,1.0000,0.0000
0.640,Upwind,0.777,0.000,0.582,0.000,3.691,3.691,2.677,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,0.3099,0.5000,1.0000,0.0000
0.824,Upwind,1.039,0.000,0.845,0.000,3.691,3.691,2.835,0.000,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.4020,0.5000,1.0000,0.0000
1.021,Upwind,1.340,0.000,1.146,0.000,3.691,3.691,2.984,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.5005,0.5000,1.0000,0.0000
1.221,Upwind,1.661,0.000,1.466,0.000,3.691,3.691,3.181,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,0.6005,0.5000,1.0000,0.0000
1.431,Upwind,2.034,0.000,1.839,0.000,3.691,3.691,3.442,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,0.7057,0.5000,1.0000,0.0000
1.627,Upwind,2.375,0.000,2.181,0.000,3.691,3.691,3.735,0.000,0.000,0.450,0.000,0.0000,0.0631,0.0000,0.8035,0.5000,1.0000,0.0000
1.820,Upwind,2.780,0.000,2.586,0.000,3.691,3.691,4.083,0.000,0.000,0.451,0.000,0.0000,0.0631,0.0000,0.9001,0.5000,1.0000,0.0000
2.033,Upwind,3.263,0.000,3.069,0.000,3.691,3.691,4.497,0.000,0.000,0.451,0.000,0.0000,0.0632,0.0000,1.0000,0.5000,1.0000,0.0000
2.224,Upwind,3.716,0.000,3.521,0.000,3.691,3.691,4.939,0.000,0.000,0.451,0.000,0.0000,0.0632,0.0000,1.0000,0.5000,1.0000,0.0000
