time_s,leg,north_m,east_m,along_m,cross_m,agl_ft,altitude_ft,speed_kts,vertical_speed_fps,heading_deg,pitch_deg,roll_deg,aileron_cmd,elevator_cmd,rudder_cmd,throttle_cmd,flaps_cmd,gear_cmd,brake_cmd
0.102,Upwind,0.259,0.000,0.000,0.000,3.691,3.691,1.737,0.000,0.000,0.454,0.000,0.0000,0.0122,0.0000,0.0000,0.5000,1.0000,1.0000
0.227,Upwind,0.344,0.000,0.084,0.000,3.691,3.691,0.939,0.015,0.000,0.416,0.000,0.0000,0.0311,0.0000,0.0000,0.5000,1.0000,1.0000
0.446,Upwind,0.357,0.000,0.098,0.000,3.704,3.704,0.045,0.061,0.000,0.316,0.000,0.0000,0.0527,0.0000,0.0000,0.5000,1.0000,1.0000
0.633,Upwind,0.355,0.000,0.096,0.000,3.700,3.700,0.062,-0.093,0.000,0.424,0.000,0.0000,0.0688,0.0000,0.0000,0.5000,1.0000,1.0000
0.837,Upwind,0.354,0.000,0.095,0.000,3.683,3.683,0.026,-0.042,0.000,0.480,0.000,0.0000,0.0665,0.0000,0.0000,0.5000,1.0000,1.0000
1.044,Upwind,0.355,0.000,0.096,0.000,3.685,3.685,0.032,0.035,0.000,0.457,0.000,0.0000,0.0613,0.0000,0.0848,0.5000,1.0000,0.0000
1.240,Upwind,0.359,0.000,0.100,0.000,3.691,3.691,0.037,0.019,0.000,0.441,0.000,0.0000,0.0618,0.0000,0.1829,0.5000,1.0000,0.0000
1.433,Upwind,0.363,0.000,0.103,0.000,3.692,3.692,0.047,-0.004,0.000,0.445,0.000,0.0000,0.0630,0.0000,0.2795,0.5000,1.0000,0.0000
1.627,Upwind,0.369,0.000,0.109,0.000,3.691,3.691,0.068,-0.006,0.000,0.451,0.000,0.0000,0.0632,0.0000,0.3767,0.5000,1.0000,0.0000
1.822,Upwind,0.378,0.000,0.118,0.000,3.690,3.690,0.100,0.002,0.000,0.451,0.000,0.0000,0.0629,0.0000,0.4738,0.5000,1.0000,0.0000
2.023,Upwind,0.390,0.000,0.131,0.000,3.691,3.691,0.141,0.002,0.000,0.449,0.000,0.0000,0.0628,0.0000,0.5744,0.5000,1.0000,0.0000
2.234,Upwind,0.409,0.000,0.150,0.000,3.691,3.691,0.207,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.6799,0.5000,1.0000,0.0000
2.421,Upwind,0.435,0.000,0.175,0.000,3.691,3.691,0.280,-0.001,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.7733,0.5000,1.0000,0.0000
