time_s,leg,north_m,east_m,along_m,cross_m,agl_ft,altitude_ft,speed_kts,vertical_speed_fps,heading_deg,pitch_deg,roll_deg,aileron_cmd,elevator_cmd,rudder_cmd,throttle_cmd,flaps_cmd,gear_cmd,brake_cmd
1.956,Upwind,0.777,0.000,0.777,0.000,3.691,3.691,2.693,0.000,0.000,0.450,0.000,0.0000,0.0029,0.0000,0.0000,0.5000,1.0000,1.0000
2.150,Upwind,0.965,0.000,0.965,0.000,3.692,3.692,1.088,0.029,0.000,0.388,0.000,0.0000,0.0319,0.0000,0.0000,0.5000,1.0000,1.0000
2.353,Upwind,0.981,0.000,0.981,0.000,3.707,3.707,0.046,0.048,0.000,0.311,0.000,0.0000,0.0518,0.0000,0.0000,0.5000,1.0000,1.0000
2.551,Upwind,0.978,0.000,0.978,0.000,3.696,3.696,0.079,-0.125,0.000,0.451,0.000,0.0000,0.0726,0.0000,0.0000,0.5000,1.0000,1.0000
2.748,Upwind,0.978,0.000,0.978,0.000,3.679,3.679,0.018,-0.030,0.000,0.494,0.000,0.0000,0.0675,0.0000,0.0184,0.5000,1.0000,0.0000
2.956,Upwind,0.978,0.000,0.978,0.000,3.683,3.683,0.028,0.045,0.000,0.459,0.000,0.0000,0.0608,0.0000,0.1226,0.5000,1.0000,0.0000
3.144,Upwind,0.979,0.000,0.979,0.000,3.691,3.691,0.014,0.024,0.000,0.437,0.000,0.0000,0.0615,0.0000,0.2163,0.5000,1.0000,0.0000
3.352,Upwind,0.978,0.000,0.978,0.000,3.692,3.692,0.006,-0.009,0.000,0.447,0.000,0.0000,0.0634,0.0000,0.3208,0.5000,1.0000,0.0000
3.551,Upwind,0.978,0.000,0.978,0.000,3.690,3.690,0.004,-0.007,0.000,0.452,0.000,0.0000,0.0633,0.0000,0.4199,0.5000,1.0000,0.0000
3.747,Upwind,0.979,0.000,0.979,0.000,3.690,3.690,0.005,0.003,0.000,0.451,0.000,0.0000,0.0628,0.0000,0.5179,0.5000,1.0000,0.0000
3.948,Upwind,0.980,0.000,0.980,0.000,3.691,3.691,0.019,0.003,0.000,0.448,0.000,0.0000,0.0627,0.0000,0.6183,0.5000,1.0000,0.0000
4.153,Upwind,0.983,0.000,0.983,0.000,3.691,3.691,0.042,0.000,0.000,0.448,0.000,0.0000,0.0629,0.0000,0.7211,0.5000,1.0000,0.0000
4.348,Upwind,0.989,0.000,0.989,0.000,3.691,3.691,0.077,-0.001,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.8185,0.5000,1.0000,0.0000
4.545,Upwind,1.000,0.000,1.000,0.000,3.691,3.691,0.127,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.9171,0.5000,1.0000,0.0000
4.746,Upwind,1.017,0.000,1.017,0.000,3.691,3.691,0.193,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
4.951,Upwind,1.042,0.000,1.042,0.000,3.691,3.691,0.279,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
5.144,Upwind,1.077,0.000,1.077,0.000,3.691,3.691,0.388,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
5.343,Upwind,1.125,0.000,1.125,0.000,3.691,3.691,0.525,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
5.550,Upwind,1.189,0.000,1.189,0.000,3.691,3.691,0.694,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
5.748,Upwind,1.272,0.000,1.272,0.000,3.691,3.691,0.901,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
5.950,Upwind,1.380,0.000,1.380,0.000,3.691,3.691,1.151,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
6.141,Upwind,1.516,0.000,1.516,0.000,3.691,3.691,1.452,0.000,0.000,0.450,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
6.342,Upwind,1.686,0.000,1.686,0.000,3.691,3.691,1.811,0.000,0.000,0.451,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
6.542,Upwind,1.897,0.000,1.897,0.000,3.691,3.691,2.235,0.000,0.000,0.451,0.000,0.0000,0.0632,0.0000,1.0000,0.5000,1.0000,0.0000
6.755,Upwind,2.181,0.000,2.181,0.000,3.691,3.691,2.778,0.000,0.000,0.451,0.000,0.0000,0.0632,0.0000,1.0000,0.5000,1.0000,0.0000
6.949,Upwind,2.472,0.000,2.472,0.000,3.691,3.691,3.313,0.000,0.000,0.452,0.000,0.0000,0.0633,0.0000,1.0000,0.5000,1.0000,0.0000
7.151,Upwind,2.852,0.000,2.852,0.000,3.691,3.691,3.984,0.000,0.000,0.452,0.000,0.0000,0.0633,0.0000,1.0000,0.5000,1.0000,0.0000
7.342,Upwind,3.307,0.000,3.307,0.000,3.691,3.691,4.751,0.000,0.000,0.453,0.000,0.0000,0.0634,0.0000,1.0000,0.5000,1.0000,0.0000
7.539,Upwind,3.848,0.000,3.848,0.000,3.691,3.691,5.624,0.000,0.000,0.453,0.000,0.0000,0.0635,0.0000,1.0000,0.5000,1.0000,0.0000
7.740,Upwind,4.485,0.000,4.485,0.000,3.691,3.691,6.609,0.000,0.000,0.454,0.000,0.0000,0.0636,0.0000,1.0000,0.5000,1.0000,0.0000
7.967,Upwind,5.297,0.000,5.297,0.000,3.691,3.691,7.809,0.000,0.000,0.454,0.000,0.0000,0.0636,0.0000,1.0000,0.5000,1.0000,0.0000
8.155,Upwind,6.174,0.000,6.174,0.000,3.691,3.691,8.938,0.001,0.000,0.455,0.000,0.0000,0.0637,0.0000,1.0000,0.5000,1.0000,0.0000
8.340,Upwind,7.093,0.000,7.093,0.000,3.691,3.691,10.117,0.001,0.000,0.455,0.000,0.0000,0.0637,0.0000,1.0000,0.5000,1.0000,0.0000
8.545,Upwind,8.222,0.000,8.222,0.000,3.691,3.691,11.508,0.001,0.000,0.455,0.000,0.0000,0.0636,0.0000,1.0000,0.5000,1.0000,0.0000
8.768,Upwind,9.594,0.000,9.594,0.000,3.692,3.692,12.792,0.001,0.000,0.454,0.000,0.0000,0.0636,0.0000,1.0000,0.5000,1.0000,0.0000
8.949,Upwind,10.876,0.000,10.876,0.000,3.692,3.692,14.074,0.001,0.000,0.454,0.000,0.0000,0.0635,0.0000,1.0000,0.5000,1.0000,0.0000
9.153,Upwind,12.534,0.000,12.534,0.000,3.692,3.692,15.356,0.001,0.000,0.454,0.000,0.0000,0.0635,0.0000,1.0000,0.5000,1.0000,0.0000
9.339,Upwind,14.058,0.000,14.058,0.000,3.692,3.692,16.636,0.001,0.000,0.453,0.000,0.0000,0.0634,0.0000,1.0000,0.5000,1.0000,0.0000
9.554,Upwind,16.001,0.000,16.001,0.000,3.693,3.693,18.022,0.002,0.000,0.453,0.000,0.0000,0.0633,0.0000,1.0000,0.5000,1.0000,0.0000
9.748,Upwind,17.766,0.000,17.766,0.000,3.693,3.693,19.193,0.002,0.000,0.452,0.000,0.0000,0.0633,0.0000,1.0000,0.5000,1.0000,0.0000
9.945,Upwind,19.818,0.000,19.818,0.000,3.693,3.693,20.470,0.002,0.000,0.452,0.000,0.0000,0.0632,0.0000,1.0000,0.5000,1.0000,0.0000
10.140,Upwind,22.001,0.000,22.001,0.000,3.694,3.694,21.746,0.002,0.000,0.451,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
10.343,Upwind,24.315,0.000,24.315,0.000,3.694,3.694,23.020,0.002,0.000,0.451,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
10.544,Upwind,26.760,0.000,26.760,0.000,3.695,3.695,24.294,0.002,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
10.739,Upwind,29.336,0.000,29.336,0.000,3.695,3.695,25.566,0.003,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
10.952,Upwind,32.274,0.000,32.274,0.000,3.696,3.696,26.942,0.003,0.000,0.449,0.000,0.0000,0.0627,0.0000,1.0000,0.5000,1.0000,0.0000
11.151,Upwind,34.880,0.000,34.880,0.000,3.696,3.696,28.106,0.003,0.000,0.448,0.000,0.0000,0.0626,0.0000,1.0000,0.5000,1.0000,0.0000
11.337,Upwind,37.848,0.000,37.848,0.000,3.697,3.697,29.374,0.003,0.000,0.447,0.000,0.0000,0.0625,0.0000,1.0000,0.5000,1.0000,0.0000
