time_s,leg,north_m,east_m,along_m,cross_m,agl_ft,altitude_ft,speed_kts,vertical_speed_fps,heading_deg,pitch_deg,roll_deg,aileron_cmd,elevator_cmd,rudder_cmd,throttle_cmd,flaps_cmd,gear_cmd,brake_cmd
1.947,Upwind,0.731,0.000,0.731,0.000,3.691,3.691,2.641,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,0.0126,0.5000,1.0000,0.0000
2.141,Upwind,0.990,0.000,0.990,0.000,3.691,3.691,2.809,0.000,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.1094,0.5000,1.0000,0.0000
2.334,Upwind,1.285,0.000,1.285,0.000,3.691,3.691,2.894,0.000,0.000,0.449,0.000,0.0000,0.0628,0.0000,0.2058,0.5000,1.0000,0.0000
2.538,Upwind,1.586,0.000,1.586,0.000,3.691,3.691,2.941,0.000,0.000,0.449,0.000,0.0000,0.0628,0.0000,0.3081,0.5000,1.0000,0.0000
2.731,Upwind,1.892,0.000,1.892,0.000,3.691,3.691,3.000,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.4045,0.5000,1.0000,0.0000
2.923,Upwind,2.178,0.000,2.178,0.000,3.691,3.691,3.071,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.5003,0.5000,1.0000,0.0000
3.125,Upwind,2.500,0.000,2.500,0.000,3.691,3.691,3.177,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.6014,0.5000,1.0000,0.0000
3.325,Upwind,2.833,0.000,2.833,0.000,3.691,3.691,3.303,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.7016,0.5000,1.0000,0.0000
3.529,Upwind,3.210,0.000,3.210,0.000,3.691,3.691,3.458,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,0.8037,0.5000,1.0000,0.0000
3.728,Upwind,3.577,0.000,3.577,0.000,3.691,3.691,3.649,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,0.9030,0.5000,1.0000,0.0000
