time_s,leg,north_m,east_m,along_m,cross_m,agl_ft,altitude_ft,speed_kts,vertical_speed_fps,heading_deg,pitch_deg,roll_deg,aileron_cmd,elevator_cmd,rudder_cmd,throttle_cmd,flaps_cmd,gear_cmd,brake_cmd
0.333,Upwind,0.003,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.5000,1.0000,1.0000
0.416,Upwind,0.007,0.000,0.006,0.000,3.690,3.690,0.079,0.005,0.000,0.451,0.000,0.0000,0.0558,0.0000,0.0000,0.5000,1.0000,1.0000
0.612,Upwind,0.009,0.000,0.007,0.000,3.696,3.696,0.030,0.041,0.000,0.380,0.000,0.0000,0.0520,0.0000,0.0000,0.5000,1.0000,1.0000
0.818,Upwind,0.008,0.000,0.007,0.000,3.700,3.700,0.006,-0.010,0.000,0.399,0.000,0.0000,0.0601,0.0000,0.0000,0.5000,1.0000,1.0000
1.010,Upwind,0.007,0.000,0.006,0.000,3.694,3.694,0.023,-0.039,0.000,0.434,0.000,0.0000,0.0628,0.0000,0.0000,0.5000,1.0000,1.0000
1.206,Upwind,0.009,0.000,0.007,0.000,3.690,3.690,0.052,-0.004,0.000,0.448,0.000,0.0000,0.0636,0.0000,0.0542,0.5000,1.0000,0.0000
1.410,Upwind,0.024,0.000,0.023,0.000,3.690,3.690,0.188,0.003,0.000,0.453,0.000,0.0000,0.0632,0.0000,0.1563,0.5000,1.0000,0.0000
1.603,Upwind,0.045,0.000,0.044,0.000,3.691,3.691,0.242,0.002,0.000,0.450,0.000,0.0000,0.0626,0.0000,0.2526,0.5000,1.0000,0.0000
1.806,Upwind,0.073,0.000,0.072,0.000,3.691,3.691,0.295,0.002,0.000,0.448,0.000,0.0000,0.0628,0.0000,0.3542,0.5000,1.0000,0.0000
2.008,Upwind,0.107,0.000,0.106,0.000,3.691,3.691,0.365,-0.001,0.000,0.449,0.000,0.0000,0.0630,0.0000,0.4552,0.5000,1.0000,0.0000
2.201,Upwind,0.150,0.000,0.149,0.000,3.691,3.691,0.456,-0.001,0.000,0.450,0.000,0.0000,0.0630,0.0000,0.5517,0.5000,1.0000,0.0000
2.405,Upwind,0.204,0.000,0.202,0.000,3.691,3.691,0.571,0.000,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.6536,0.5000,1.0000,0.0000
2.612,Upwind,0.277,0.000,0.276,0.000,3.691,3.691,0.727,0.000,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.7571,0.5000,1.0000,0.0000
2.805,Upwind,0.355,0.000,0.353,0.000,3.691,3.691,0.891,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,0.8536,0.5000,1.0000,0.0000
3.014,Upwind,0.469,0.000,0.467,0.000,3.691,3.691,1.126,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,0.9580,0.5000,1.0000,0.0000
3.213,Upwind,0.600,0.000,0.599,0.000,3.691,3.691,1.390,0.000,0.000,0.450,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
3.402,Upwind,0.747,0.000,0.745,0.000,3.691,3.691,1.679,0.000,0.000,0.450,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
3.602,Upwind,0.941,0.000,0.940,0.000,3.691,3.691,2.051,0.000,0.000,0.451,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
3.802,Upwind,1.178,0.000,1.177,0.000,3.691,3.691,2.490,0.000,0.000,0.451,0.000,0.0000,0.0632,0.0000,1.0000,0.5000,1.0000,0.0000
4.006,Upwind,1.464,0.000,1.463,0.000,3.691,3.691,3.005,0.000,0.000,0.451,0.000,0.0000,0.0632,0.0000,1.0000,0.5000,1.0000,0.0000
4.200,Upwind,1.809,0.000,1.808,0.000,3.691,3.691,3.603,0.000,0.000,0.452,0.000,0.0000,0.0633,0.0000,1.0000,0.5000,1.0000,0.0000
4.403,Upwind,2.220,0.000,2.219,0.000,3.691,3.691,4.294,0.000,0.000,0.452,0.000,0.0000,0.0634,0.0000,1.0000,0.5000,1.0000,0.0000
4.610,Upwind,2.753,0.000,2.752,0.000,3.691,3.691,5.153,0.000,0.000,0.453,0.000,0.0000,0.0634,0.0000,1.0000,0.5000,1.0000,0.0000
4.806,Upwind,3.284,0.000,3.283,0.000,3.691,3.691,5.979,0.000,0.000,0.453,0.000,0.0000,0.0635,0.0000,1.0000,0.5000,1.0000,0.0000
5.014,Upwind,4.020,0.000,4.019,0.000,3.691,3.691,7.077,0.000,0.000,0.454,0.000,0.0000,0.0636,0.0000,1.0000,0.5000,1.0000,0.0000
5.205,Upwind,4.745,0.000,4.743,0.000,3.691,3.691,8.116,0.000,0.000,0.454,0.000,0.0000,0.0636,0.0000,1.0000,0.5000,1.0000,0.0000
5.407,Upwind,5.654,0.000,5.653,0.000,3.691,3.691,9.473,0.001,0.000,0.455,0.000,0.0000,0.0637,0.0000,1.0000,0.5000,1.0000,0.0000
5.613,Upwind,6.788,0.000,6.786,0.000,3.691,3.691,10.758,0.001,0.000,0.455,0.000,0.0000,0.0637,0.0000,1.0000,0.5000,1.0000,0.0000
5.819,Upwind,7.972,0.000,7.970,0.000,3.691,3.691,12.042,0.001,0.000,0.454,0.000,0.0000,0.0636,0.0000,1.0000,0.5000,1.0000,0.0000
6.009,Upwind,9.288,0.000,9.286,0.000,3.692,3.692,13.326,0.001,0.000,0.454,0.000,0.0000,0.0636,0.0000,1.0000,0.5000,1.0000,0.0000
6.209,Upwind,10.736,0.000,10.734,0.000,3.692,3.692,14.608,0.001,0.000,0.454,0.000,0.0000,0.0635,0.0000,1.0000,0.5000,1.0000,0.0000
6.412,Upwind,12.316,0.000,12.314,0.000,3.692,3.692,15.889,0.001,0.000,0.454,0.000,0.0000,0.0635,0.0000,1.0000,0.5000,1.0000,0.0000
6.601,Upwind,13.880,0.000,13.878,0.000,3.692,3.692,17.062,0.001,0.000,0.453,0.000,0.0000,0.0634,0.0000,1.0000,0.5000,1.0000,0.0000
6.815,Upwind,15.871,0.000,15.869,0.000,3.693,3.693,18.447,0.002,0.000,0.453,0.000,0.0000,0.0634,0.0000,1.0000,0.5000,1.0000,0.0000
7.001,Upwind,17.676,0.000,17.675,0.000,3.693,3.693,19.619,0.002,0.000,0.452,0.000,0.0000,0.0633,0.0000,1.0000,0.5000,1.0000,0.0000
7.208,Upwind,19.771,0.000,19.770,0.000,3.693,3.693,20.895,0.002,0.000,0.452,0.000,0.0000,0.0632,0.0000,1.0000,0.5000,1.0000,0.0000
7.408,Upwind,21.998,0.000,21.996,0.000,3.694,3.694,22.277,0.002,0.000,0.451,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
7.613,Upwind,24.558,0.000,24.556,0.000,3.694,3.694,23.551,0.002,0.000,0.451,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
7.806,Upwind,26.844,0.000,26.843,0.000,3.695,3.695,24.824,0.002,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
8.003,Upwind,29.464,0.000,29.462,0.000,3.695,3.695,25.989,0.003,0.000,0.450,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
8.215,Upwind,32.449,0.000,32.448,0.000,3.696,3.696,27.366,0.003,0.000,0.449,0.000,0.0000,0.0628,0.0000,1.0000,0.5000,1.0000,0.0000
8.405,Upwind,35.095,0.000,35.094,0.000,3.696,3.696,28.529,0.003,0.000,0.448,0.000,0.0000,0.0627,0.0000,1.0000,0.5000,1.0000,0.0000
8.606,Upwind,38.107,0.000,38.105,0.000,3.697,3.697,29.902,0.003,0.000,0.447,0.000,0.0000,0.0626,0.0000,1.0000,0.5000,1.0000,0.0000
8.808,Upwind,41.516,0.000,41.515,0.000,3.697,3.697,31.169,0.003,0.000,0.447,0.000,0.0000,0.0624,0.0000,1.0000,0.5000,1.0000,0.0000
9.003,Upwind,44.521,0.001,44.519,0.001,3.698,3.698,32.328,0.003,0.000,0.446,0.000,0.0000,0.0623,0.0000,1.0000,0.5000,1.0000,0.0000
9.215,Upwind,48.212,0.001,48.211,0.001,3.699,3.699,33.697,0.004,0.000,0.445,0.000,0.0000,0.0622,0.0000,1.0000,0.5000,1.0000,0.0000
9.420,Upwind,51.755,0.001,51.754,0.001,3.699,3.699,34.959,0.004,0.000,0.444,0.000,0.0000,0.0620,0.0000,1.0000,0.5000,1.0000,0.0000
9.611,Upwind,55.428,0.001,55.427,0.001,3.700,3.700,36.220,0.004,0.000,0.443,0.000,0.0000,0.0619,0.0000,1.0000,0.5000,1.0000,0.0000
