time_s,leg,north_m,east_m,along_m,cross_m,agl_ft,altitude_ft,speed_kts,vertical_speed_fps,heading_deg,pitch_deg,roll_deg,aileron_cmd,elevator_cmd,rudder_cmd,throttle_cmd,flaps_cmd,gear_cmd,brake_cmd
0.000,Upwind,0.772,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.449,0.000,0.0000,0.0022,0.0000,0.1580,0.5000,1.0000,1.0000
0.195,Upwind,0.772,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.449,0.000,0.0000,0.0314,0.0000,0.0607,0.5000,1.0000,1.0000
0.391,Upwind,0.772,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.449,0.000,0.0000,0.0609,0.0000,0.0000,0.5000,1.0000,1.0000
0.587,Upwind,0.772,0.000,0.000,0.000,3.691,3.691,0.000,-0.001,0.000,0.450,0.000,0.0000,0.0630,0.0000,0.0000,0.5000,1.0000,1.0000
0.790,Upwind,0.772,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,0.0147,0.5000,1.0000,0.0000
0.992,Upwind,0.772,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.1157,0.5000,1.0000,0.0000
1.195,Upwind,0.772,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.2171,0.5000,1.0000,0.0000
1.392,Upwind,0.772,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.3155,0.5000,1.0000,0.0000
1.595,Upwind,0.772,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.4174,0.5000,1.0000,0.0000
1.791,Upwind,0.772,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.5154,0.5000,1.0000,0.0000
1.988,Upwind,0.772,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.449,0.000,0.0000,0.0628,0.0000,0.6139,0.5000,1.0000,0.0000
2.196,Upwind,0.772,0.000,0.000,0.000,3.691,3.691,0.002,0.000,0.000,0.449,0.000,0.0000,0.0628,0.0000,0.7177,0.5000,1.0000,0.0000
2.391,Upwind,0.773,0.000,0.001,0.000,3.691,3.691,0.010,0.000,0.000,0.449,0.000,0.0000,0.0628,0.0000,0.8150,0.5000,1.0000,0.0000
2.588,Upwind,0.775,0.000,0.003,0.000,3.691,3.691,0.027,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.9137,0.5000,1.0000,0.0000
2.790,Upwind,0.779,0.000,0.007,0.000,3.691,3.691,0.055,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
2.988,Upwind,0.787,0.000,0.015,0.000,3.691,3.691,0.095,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
3.189,Upwind,0.800,0.000,0.028,0.000,3.691,3.691,0.150,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
3.395,Upwind,0.820,0.000,0.048,0.000,3.691,3.691,0.231,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
3.587,Upwind,0.848,0.000,0.076,0.000,3.691,3.691,0.318,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
