time_s,leg,north_m,east_m,along_m,cross_m,agl_ft,altitude_ft,speed_kts,vertical_speed_fps,heading_deg,pitch_deg,roll_deg,aileron_cmd,elevator_cmd,rudder_cmd,throttle_cmd,flaps_cmd,gear_cmd,brake_cmd
1.534,Upwind,0.067,0.000,0.067,0.000,3.691,3.691,1.077,0.002,0.000,0.454,0.000,0.0000,0.0029,0.0000,0.0000,0.5000,1.0000,1.0000
1.725,Upwind,0.137,0.000,0.137,0.000,3.692,3.692,0.032,0.037,0.000,0.378,0.000,0.0000,0.0315,0.0000,0.0000,0.5000,1.0000,1.0000
1.927,Upwind,0.137,0.000,0.137,0.000,3.703,3.703,0.032,0.036,0.000,0.347,0.000,0.0000,0.0573,0.0000,0.0000,0.5000,1.0000,1.0000
2.134,Upwind,0.135,0.000,0.135,0.000,3.695,3.695,0.051,-0.081,0.000,0.441,0.000,0.0000,0.0668,0.0000,0.0000,0.5000,1.0000,1.0000
2.337,Upwind,0.135,0.000,0.135,0.000,3.685,3.685,0.006,-0.009,0.000,0.466,0.000,0.0000,0.0643,0.0000,0.0151,0.5000,1.0000,0.0000
2.516,Upwind,0.138,0.000,0.138,0.000,3.687,3.687,0.060,0.023,0.000,0.454,0.000,0.0000,0.0623,0.0000,0.1046,0.5000,1.0000,0.0000
2.728,Upwind,0.148,0.000,0.148,0.000,3.691,3.691,0.102,0.009,0.000,0.445,0.000,0.0000,0.0624,0.0000,0.2110,0.5000,1.0000,0.0000
2.931,Upwind,0.161,0.000,0.161,0.000,3.691,3.691,0.133,-0.003,0.000,0.448,0.000,0.0000,0.0630,0.0000,0.3124,0.5000,1.0000,0.0000
3.119,Upwind,0.176,0.000,0.176,0.000,3.691,3.691,0.177,-0.003,0.000,0.450,0.000,0.0000,0.0631,0.0000,0.4063,0.5000,1.0000,0.0000
3.317,Upwind,0.197,0.000,0.197,0.000,3.691,3.691,0.236,0.001,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.5056,0.5000,1.0000,0.0000
3.532,Upwind,0.229,0.000,0.229,0.000,3.691,3.691,0.322,0.001,0.000,0.449,0.000,0.0000,0.0628,0.0000,0.6126,0.5000,1.0000,0.0000
3.727,Upwind,0.268,0.000,0.268,0.000,3.691,3.691,0.416,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.7105,0.5000,1.0000,0.0000
3.924,Upwind,0.319,0.000,0.319,0.000,3.691,3.691,0.542,0.000,0.000,0.449,0.000,0.0000,0.0630,0.0000,0.8087,0.5000,1.0000,0.0000
4.129,Upwind,0.386,0.000,0.386,0.000,3.691,3.691,0.699,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,0.9115,0.5000,1.0000,0.0000
4.335,Upwind,0.471,0.000,0.471,0.000,3.691,3.691,0.910,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
4.551,Upwind,0.588,0.000,0.588,0.000,3.691,3.691,1.147,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
4.725,Upwind,0.713,0.000,0.713,0.000,3.691,3.691,1.408,0.000,0.000,0.450,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
4.939,Upwind,0.896,0.000,0.896,0.000,3.691,3.691,1.745,0.000,0.000,0.451,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
