time_s,leg,north_m,east_m,along_m,cross_m,agl_ft,altitude_ft,speed_kts,vertical_speed_fps,heading_deg,pitch_deg,roll_deg,aileron_cmd,elevator_cmd,rudder_cmd,throttle_cmd,flaps_cmd,gear_cmd,brake_cmd
0.000,Upwind,0.000,0.000,0.000,0.000,3.691,3.691,0.001,0.000,0.000,0.450,0.000,0.0000,0.0019,0.0000,0.1039,0.5000,1.0000,1.0000
0.195,Upwind,0.000,0.000,0.000,0.000,3.691,3.691,0.001,0.001,0.000,0.449,0.000,0.0000,0.0312,0.0000,0.0061,0.5000,1.0000,1.0000
0.397,Upwind,0.000,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.449,0.000,0.0000,0.0615,0.0000,0.0000,0.5000,1.0000,1.0000
0.589,Upwind,0.000,0.000,0.000,0.000,3.691,3.691,0.000,-0.001,0.000,0.450,0.000,0.0000,0.0630,0.0000,0.0000,0.5000,1.0000,1.0000
0.796,Upwind,0.000,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,0.0165,0.5000,1.0000,0.0000
0.988,Upwind,0.000,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.1124,0.5000,1.0000,0.0000
1.191,Upwind,0.000,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.2140,0.5000,1.0000,0.0000
1.388,Upwind,0.000,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.3129,0.5000,1.0000,0.0000
1.593,Upwind,0.000,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.4151,0.5000,1.0000,0.0000
1.796,Upwind,0.000,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.5165,0.5000,1.0000,0.0000
1.988,Upwind,0.000,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.449,0.000,0.0000,0.0628,0.0000,0.6128,0.5000,1.0000,0.0000
2.192,Upwind,0.000,0.000,0.000,0.000,3.691,3.691,0.002,0.000,0.000,0.449,0.000,0.0000,0.0628,0.0000,0.7145,0.5000,1.0000,0.0000
2.390,Upwind,0.001,0.000,0.001,0.000,3.691,3.691,0.011,0.000,0.000,0.449,0.000,0.0000,0.0628,0.0000,0.8134,0.5000,1.0000,0.0000
2.598,Upwind,0.003,0.000,0.003,0.000,3.691,3.691,0.029,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.9177,0.5000,1.0000,0.0000
2.795,Upwind,0.008,0.000,0.007,0.000,3.691,3.691,0.058,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
2.998,Upwind,0.016,0.000,0.016,0.000,3.691,3.691,0.099,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
3.195,Upwind,0.029,0.000,0.029,0.000,3.691,3.691,0.156,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
3.394,Upwind,0.048,0.000,0.048,0.000,3.691,3.691,0.231,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
3.597,Upwind,0.079,0.000,0.079,0.000,3.691,3.691,0.327,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
3.793,Upwind,0.116,0.000,0.116,0.000,3.691,3.691,0.449,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
3.990,Upwind,0.170,0.000,0.169,0.000,3.691,3.691,0.600,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
4.200,Upwind,0.247,0.000,0.247,0.000,3.691,3.691,0.786,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
4.389,Upwind,0.333,0.000,0.332,0.000,3.691,3.691,1.012,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
4.597,Upwind,0.462,0.000,0.461,0.000,3.691,3.691,1.285,0.000,0.000,0.450,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
4.787,Upwind,0.599,0.000,0.599,0.000,3.691,3.691,1.582,0.000,0.000,0.450,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
4.992,Upwind,0.784,0.000,0.784,0.000,3.691,3.691,1.999,0.000,0.000,0.451,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
5.188,Upwind,1.013,0.000,1.012,0.000,3.691,3.691,2.415,0.000,0.000,0.451,0.000,0.0000,0.0632,0.0000,1.0000,0.5000,1.0000,0.0000
5.392,Upwind,1.292,0.000,1.292,0.000,3.691,3.691,2.991,0.000,0.000,0.452,0.000,0.0000,0.0633,0.0000,1.0000,0.5000,1.0000,0.0000
5.589,Upwind,1.631,0.000,1.631,0.000,3.691,3.691,3.612,0.000,0.000,0.452,0.000,0.0000,0.0633,0.0000,1.0000,0.5000,1.0000,0.0000
5.796,Upwind,2.076,0.000,2.076,0.000,3.691,3.691,4.327,0.000,0.000,0.452,0.000,0.0000,0.0634,0.0000,1.0000,0.5000,1.0000,0.0000
5.997,Upwind,2.569,0.000,2.569,0.000,3.691,3.691,5.142,0.000,0.000,0.453,0.000,0.0000,0.0634,0.0000,1.0000,0.5000,1.0000,0.0000
6.192,Upwind,3.101,0.000,3.100,0.000,3.691,3.691,6.066,0.000,0.000,0.453,0.000,0.0000,0.0635,0.0000,1.0000,0.5000,1.0000,0.0000
6.392,Upwind,3.777,0.000,3.777,0.000,3.691,3.691,7.104,0.000,0.000,0.454,0.000,0.0000,0.0636,0.0000,1.0000,0.5000,1.0000,0.0000
6.588,Upwind,4.567,0.000,4.566,0.000,3.691,3.691,8.263,0.001,0.000,0.454,0.000,0.0000,0.0637,0.0000,1.0000,0.5000,1.0000,0.0000
6.789,Upwind,5.482,0.000,5.481,0.000,3.691,3.691,9.533,0.001,0.000,0.455,0.000,0.0000,0.0637,0.0000,1.0000,0.5000,1.0000,0.0000
6.997,Upwind,6.622,0.000,6.622,0.000,3.691,3.691,10.818,0.001,0.000,0.455,0.000,0.0000,0.0636,0.0000,1.0000,0.5000,1.0000,0.0000
7.195,Upwind,7.812,0.000,7.812,0.000,3.692,3.692,12.103,0.001,0.000,0.454,0.000,0.0000,0.0636,0.0000,1.0000,0.5000,1.0000,0.0000
7.391,Upwind,9.019,0.000,9.019,0.000,3.692,3.692,13.386,0.001,0.000,0.454,0.000,0.0000,0.0635,0.0000,1.0000,0.5000,1.0000,0.0000
7.592,Upwind,10.462,0.000,10.462,0.000,3.692,3.692,14.668,0.001,0.000,0.454,0.000,0.0000,0.0635,0.0000,1.0000,0.5000,1.0000,0.0000
7.799,Upwind,12.175,0.000,12.174,0.000,3.692,3.692,15.949,0.001,0.000,0.453,0.000,0.0000,0.0634,0.0000,1.0000,0.5000,1.0000,0.0000
7.996,Upwind,13.893,0.000,13.892,0.000,3.693,3.693,17.228,0.002,0.000,0.453,0.000,0.0000,0.0634,0.0000,1.0000,0.5000,1.0000,0.0000
8.198,Upwind,15.742,0.000,15.742,0.000,3.693,3.693,18.507,0.002,0.000,0.453,0.000,0.0000,0.0633,0.0000,1.0000,0.5000,1.0000,0.0000
8.396,Upwind,17.723,0.000,17.723,0.000,3.693,3.693,19.784,0.002,0.000,0.452,0.000,0.0000,0.0632,0.0000,1.0000,0.5000,1.0000,0.0000
8.597,Upwind,19.835,0.000,19.835,0.000,3.694,3.694,21.061,0.002,0.000,0.452,0.000,0.0000,0.0632,0.0000,1.0000,0.5000,1.0000,0.0000
8.792,Upwind,21.887,0.000,21.886,0.000,3.694,3.694,22.336,0.002,0.000,0.451,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
8.991,Upwind,24.250,0.000,24.250,0.000,3.695,3.695,23.610,0.002,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
9.197,Upwind,26.959,0.000,26.959,0.000,3.695,3.695,24.882,0.003,0.000,0.450,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
9.395,Upwind,29.595,0.000,29.595,0.000,3.696,3.696,26.153,0.003,0.000,0.449,0.000,0.0000,0.0628,0.0000,1.0000,0.5000,1.0000,0.0000
9.590,Upwind,32.127,0.000,32.127,0.000,3.696,3.696,27.423,0.003,0.000,0.448,0.000,0.0000,0.0627,0.0000,1.0000,0.5000,1.0000,0.0000
9.795,Upwind,35.261,0.000,35.260,0.000,3.697,3.697,28.692,0.003,0.000,0.447,0.000,0.0000,0.0625,0.0000,1.0000,0.5000,1.0000,0.0000
9.998,Upwind,38.289,0.000,38.289,0.000,3.697,3.697,29.959,0.004,0.000,0.446,0.000,0.0000,0.0624,0.0000,1.0000,0.5000,1.0000,0.0000
10.190,Upwind,41.179,0.000,41.179,0.000,3.698,3.698,31.225,0.004,0.000,0.446,0.000,0.0000,0.0623,0.0000,1.0000,0.5000,1.0000,0.0000
10.397,Upwind,44.736,0.001,44.736,0.001,3.699,3.699,32.489,0.004,0.000,0.445,0.000,0.0000,0.0621,0.0000,1.0000,0.5000,1.0000,0.0000
10.593,Upwind,47.865,0.001,47.865,0.001,3.700,3.700,33.752,0.004,0.000,0.443,0.000,0.0000,0.0620,0.0000,1.0000,0.5000,1.0000,0.0000
10.788,Upwind,51.403,0.001,51.403,0.001,3.700,3.701,34.909,0.004,0.000,0.442,0.000,0.0000,0.0618,0.0000,1.0000,0.5000,1.0000,0.0000
10.998,Upwind,55.382,0.001,55.382,0.001,3.701,3.701,36.273,0.005,0.000,0.441,0.000,0.0000,0.0616,0.0000,1.0000,0.5000,1.0000,0.0000
11.195,Upwind,59.190,0.001,59.189,0.001,3.702,3.702,37.532,0.005,0.000,0.440,0.000,0.0000,0.0615,0.0000,1.0000,0.5000,1.0000,0.0000
11.394,Upwind,62.794,0.001,62.794,0.001,3.703,3.703,38.788,0.005,0.000,0.439,0.000,0.0000,0.0613,0.0000,1.0000,0.5000,1.0000,0.0000
11.589,Upwind,66.849,0.001,66.849,0.001,3.704,3.704,40.043,0.005,0.000,0.437,0.000,0.0000,0.0611,0.0000,1.0000,0.5000,1.0000,0.0000
11.794,Upwind,71.034,0.001,71.034,0.001,3.706,3.706,41.297,0.006,0.000,0.436,0.000,0.0000,0.0609,0.0000,1.0000,0.5000,1.0000,0.0000
11.994,Upwind,75.713,0.001,75.713,0.001,3.707,3.707,42.548,0.006,0.000,0.434,0.000,0.0000,0.0607,0.0000,1.0000,0.5000,1.0000,0.0000
12.196,Upwind,80.166,0.001,80.166,0.001,3.708,3.708,43.798,0.007,0.000,0.433,0.000,0.0000,0.0604,0.0000,1.0000,0.5000,1.0000,0.0000
12.392,Upwind,84.361,0.001,84.360,0.001,3.709,3.709,45.046,0.007,0.000,0.431,0.000,0.0000,0.0602,0.0000,1.0000,0.5000,1.0000,0.0000
12.592,Upwind,89.060,0.002,89.059,0.002,3.711,3.711,46.292,0.007,0.000,0.429,0.000,-0.0001,0.0599,0.0000,1.0000,0.5000,1.0000,0.0000
12.794,Upwind,94.295,0.002,94.295,0.002,3.712,3.712,47.536,0.008,0.000,0.427,0.000,-0.0001,0.0596,0.0000,1.0000,0.5000,1.0000,0.0000
12.988,Upwind,98.842,0.002,98.842,0.002,3.714,3.714,48.778,0.008,0.000,0.425,0.000,-0.0001,0.0593,0.0000,1.0000,0.5000,1.0000,0.0000
13.189,Upwind,103.924,0.002,103.924,0.002,3.715,3.715,50.017,0.009,0.000,0.423,0.000,-0.0001,0.0590,0.0000,1.0000,0.5000,1.0000,0.0000
13.391,Upwind,109.135,0.002,109.134,0.002,3.717,3.717,51.255,0.009,0.001,0.421,0.000,-0.0001,0.0587,0.0000,1.0000,0.5000,1.0000,0.0000
13.594,Upwind,114.923,0.002,114.922,0.002,3.719,3.719,52.490,0.009,0.001,0.418,0.000,-0.0001,0.0583,0.0000,1.0000,0.5000,1.0000,0.0000
13.790,Upwind,119.936,0.003,119.936,0.003,3.721,3.721,53.724,0.010,0.001,0.416,0.000,-0.0001,0.0580,0.0000,1.0000,0.5000,1.0000,0.0000
13.990,Upwind,125.528,0.003,125.527,0.003,3.723,3.723,54.955,0.010,0.001,0.413,0.000,-0.0001,0.0576,0.0000,1.0000,0.5000,1.0000,0.0000
14.195,Upwind,131.727,0.003,131.727,0.003,3.725,3.725,56.183,0.009,0.001,0.411,0.000,-0.0001,0.0573,0.0000,1.0000,0.5000,1.0000,0.0000
14.393,Upwind,137.089,0.003,137.089,0.003,3.726,3.726,57.410,0.008,0.001,0.409,0.000,-0.0001,0.0570,0.0000,1.0000,0.5000,1.0000,0.0000
14.592,Upwind,143.059,0.004,143.059,0.004,3.728,3.728,58.634,0.008,0.001,0.407,0.000,-0.0001,0.0567,0.0000,1.0000,0.5000,1.0000,0.0000
14.792,Upwind,149.155,0.004,149.155,0.004,3.730,3.730,59.857,0.008,0.001,0.405,0.000,-0.0001,0.0565,0.0000,1.0000,0.5000,1.0000,0.0000
14.998,Upwind,155.901,0.004,155.901,0.004,3.731,3.731,61.077,0.008,0.001,0.403,0.000,-0.0001,0.0562,0.0000,1.0000,0.5000,1.0000,0.0000
15.198,Upwind,162.259,0.005,162.259,0.005,3.733,3.733,62.296,0.008,0.001,0.400,0.000,-0.0001,0.0558,0.0000,1.0000,0.5000,1.0000,0.0000
15.394,Upwind,168.197,0.005,168.196,0.005,3.734,3.735,63.512,0.009,0.001,0.398,0.000,-0.0002,0.0555,0.0000,1.0000,0.5000,1.0000,0.0000
