time_s,leg,north_m,east_m,along_m,cross_m,agl_ft,altitude_ft,speed_kts,vertical_speed_fps,heading_deg,pitch_deg,roll_deg,aileron_cmd,elevator_cmd,rudder_cmd,throttle_cmd,flaps_cmd,gear_cmd,brake_cmd
0.000,Upwind,0.128,0.000,0.000,0.000,3.691,3.691,0.000,-0.001,0.000,0.448,0.000,0.0000,0.0020,0.0000,0.1391,0.5000,1.0000,1.0000
0.195,Upwind,0.128,0.000,0.000,0.000,3.691,3.691,0.000,-0.001,0.000,0.449,0.000,0.0000,0.0312,0.0000,0.0415,0.5000,1.0000,1.0000
0.389,Upwind,0.128,0.000,0.000,0.000,3.691,3.691,0.000,-0.001,0.000,0.449,0.000,0.0000,0.0603,0.0000,0.0000,0.5000,1.0000,1.0000
0.588,Upwind,0.128,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,0.0000,0.5000,1.0000,1.0000
0.794,Upwind,0.128,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.0186,0.5000,1.0000,0.0000
0.998,Upwind,0.128,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.1208,0.5000,1.0000,0.0000
1.191,Upwind,0.128,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.2174,0.5000,1.0000,0.0000
1.393,Upwind,0.128,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.3181,0.5000,1.0000,0.0000
1.598,Upwind,0.128,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.4205,0.5000,1.0000,0.0000
1.790,Upwind,0.128,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.5165,0.5000,1.0000,0.0000
1.997,Upwind,0.128,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.449,0.000,0.0000,0.0628,0.0000,0.6204,0.5000,1.0000,0.0000
2.197,Upwind,0.128,0.000,0.000,0.000,3.691,3.691,0.002,0.000,0.000,0.449,0.000,0.0000,0.0628,0.0000,0.7203,0.5000,1.0000,0.0000
2.391,Upwind,0.128,0.000,0.001,0.000,3.691,3.691,0.011,0.000,0.000,0.449,0.000,0.0000,0.0628,0.0000,0.8174,0.5000,1.0000,0.0000
2.588,Upwind,0.130,0.000,0.003,0.000,3.691,3.691,0.028,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.9157,0.5000,1.0000,0.0000
2.794,Upwind,0.135,0.000,0.007,0.000,3.691,3.691,0.059,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
2.996,Upwind,0.143,0.000,0.015,0.000,3.691,3.691,0.101,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
3.195,Upwind,0.156,0.000,0.029,0.000,3.691,3.691,0.153,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
3.389,Upwind,0.176,0.000,0.049,0.000,3.691,3.691,0.227,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
3.596,Upwind,0.205,0.000,0.077,0.000,3.691,3.691,0.332,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
3.798,Upwind,0.245,0.000,0.118,0.000,3.691,3.691,0.454,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
3.995,Upwind,0.300,0.000,0.172,0.000,3.691,3.691,0.593,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
4.191,Upwind,0.371,0.000,0.244,0.000,3.691,3.691,0.777,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
4.388,Upwind,0.464,0.000,0.337,0.000,3.691,3.691,1.001,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
4.591,Upwind,0.583,0.000,0.456,0.000,3.691,3.691,1.272,0.000,0.000,0.450,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
4.790,Upwind,0.733,0.000,0.606,0.000,3.691,3.691,1.596,0.000,0.000,0.450,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
4.995,Upwind,0.920,0.000,0.792,0.000,3.691,3.691,1.982,0.000,0.000,0.451,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
5.195,Upwind,1.151,0.000,1.023,0.000,3.691,3.691,2.477,0.000,0.000,0.451,0.000,0.0000,0.0632,0.0000,1.0000,0.5000,1.0000,0.0000
5.387,Upwind,1.432,0.000,1.305,0.000,3.691,3.691,2.968,0.000,0.000,0.452,0.000,0.0000,0.0633,0.0000,1.0000,0.5000,1.0000,0.0000
5.590,Upwind,1.774,0.000,1.646,0.000,3.691,3.691,3.585,0.000,0.000,0.452,0.000,0.0000,0.0633,0.0000,1.0000,0.5000,1.0000,0.0000
5.791,Upwind,2.185,0.000,2.057,0.000,3.691,3.691,4.295,0.000,0.000,0.452,0.000,0.0000,0.0634,0.0000,1.0000,0.5000,1.0000,0.0000
5.992,Upwind,2.674,0.000,2.547,0.000,3.691,3.691,5.106,0.000,0.000,0.453,0.000,0.0000,0.0634,0.0000,1.0000,0.5000,1.0000,0.0000
6.198,Upwind,3.254,0.000,3.126,0.000,3.691,3.691,6.107,0.000,0.000,0.453,0.000,0.0000,0.0635,0.0000,1.0000,0.5000,1.0000,0.0000
6.389,Upwind,3.935,0.000,3.807,0.000,3.691,3.691,7.058,0.000,0.000,0.454,0.000,0.0000,0.0636,0.0000,1.0000,0.5000,1.0000,0.0000
6.595,Upwind,4.730,0.000,4.602,0.000,3.691,3.691,8.314,0.001,0.000,0.454,0.000,0.0000,0.0637,0.0000,1.0000,0.5000,1.0000,0.0000
6.793,Upwind,5.650,0.000,5.522,0.000,3.691,3.691,9.480,0.001,0.000,0.455,0.000,0.0000,0.0637,0.0000,1.0000,0.5000,1.0000,0.0000
6.990,Upwind,6.703,0.000,6.575,0.000,3.691,3.691,10.765,0.001,0.000,0.455,0.000,0.0000,0.0636,0.0000,1.0000,0.5000,1.0000,0.0000
7.187,Upwind,7.887,0.000,7.760,0.000,3.692,3.692,12.049,0.001,0.000,0.454,0.000,0.0000,0.0636,0.0000,1.0000,0.5000,1.0000,0.0000
7.397,Upwind,9.204,0.000,9.076,0.000,3.692,3.692,13.439,0.001,0.000,0.454,0.000,0.0000,0.0635,0.0000,1.0000,0.5000,1.0000,0.0000
7.596,Upwind,10.653,0.000,10.525,0.000,3.692,3.692,14.614,0.001,0.000,0.454,0.000,0.0000,0.0635,0.0000,1.0000,0.5000,1.0000,0.0000
7.790,Upwind,12.233,0.000,12.106,0.000,3.692,3.692,15.895,0.001,0.000,0.453,0.000,0.0000,0.0634,0.0000,1.0000,0.5000,1.0000,0.0000
7.989,Upwind,13.946,0.000,13.818,0.000,3.693,3.693,17.175,0.002,0.000,0.453,0.000,0.0000,0.0634,0.0000,1.0000,0.5000,1.0000,0.0000
8.196,Upwind,15.790,0.000,15.662,0.000,3.693,3.693,18.560,0.002,0.000,0.453,0.000,0.0000,0.0633,0.0000,1.0000,0.5000,1.0000,0.0000
8.396,Upwind,17.765,0.000,17.638,0.000,3.693,3.693,19.838,0.002,0.000,0.452,0.000,0.0000,0.0632,0.0000,1.0000,0.5000,1.0000,0.0000
8.596,Upwind,19.872,0.000,19.744,0.000,3.694,3.694,21.008,0.002,0.000,0.452,0.000,0.0000,0.0632,0.0000,1.0000,0.5000,1.0000,0.0000
8.793,Upwind,22.110,0.000,21.982,0.000,3.694,3.694,22.283,0.002,0.000,0.451,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
8.992,Upwind,24.479,0.000,24.352,0.000,3.694,3.694,23.557,0.002,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
9.188,Upwind,26.979,0.000,26.852,0.000,3.695,3.695,24.829,0.003,0.000,0.450,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
9.398,Upwind,29.611,0.000,29.483,0.000,3.696,3.696,26.206,0.003,0.000,0.449,0.000,0.0000,0.0628,0.0000,1.0000,0.5000,1.0000,0.0000
9.598,Upwind,32.372,0.000,32.245,0.000,3.696,3.696,27.476,0.003,0.000,0.448,0.000,0.0000,0.0627,0.0000,1.0000,0.5000,1.0000,0.0000
9.794,Upwind,35.265,0.000,35.137,0.000,3.697,3.697,28.639,0.003,0.000,0.447,0.000,0.0000,0.0625,0.0000,1.0000,0.5000,1.0000,0.0000
9.990,Upwind,38.288,0.000,38.160,0.000,3.697,3.697,29.907,0.004,0.000,0.446,0.000,0.0000,0.0624,0.0000,1.0000,0.5000,1.0000,0.0000
10.196,Upwind,41.441,0.000,41.313,0.000,3.698,3.698,31.278,0.004,0.000,0.445,0.000,0.0000,0.0623,0.0000,1.0000,0.5000,1.0000,0.0000
10.390,Upwind,44.724,0.001,44.597,0.001,3.699,3.699,32.437,0.004,0.000,0.445,0.000,0.0000,0.0621,0.0000,1.0000,0.5000,1.0000,0.0000
10.595,Upwind,48.137,0.001,48.010,0.001,3.700,3.700,33.805,0.004,0.000,0.443,0.000,0.0000,0.0620,0.0000,1.0000,0.5000,1.0000,0.0000
10.796,Upwind,51.681,0.001,51.553,0.001,3.701,3.701,35.066,0.004,0.000,0.442,0.000,0.0000,0.0618,0.0000,1.0000,0.5000,1.0000,0.0000
10.989,Upwind,55.354,0.001,55.226,0.001,3.701,3.701,36.221,0.005,0.000,0.441,0.000,0.0000,0.0616,0.0000,1.0000,0.5000,1.0000,0.0000
11.195,Upwind,59.156,0.001,59.028,0.001,3.702,3.702,37.584,0.005,0.000,0.440,0.000,0.0000,0.0615,0.0000,1.0000,0.5000,1.0000,0.0000
11.390,Upwind,63.088,0.001,62.960,0.001,3.703,3.703,38.736,0.005,0.000,0.439,0.000,0.0000,0.0613,0.0000,1.0000,0.5000,1.0000,0.0000
11.589,Upwind,67.149,0.001,67.021,0.001,3.704,3.704,39.991,0.005,0.000,0.437,0.000,0.0000,0.0611,0.0000,1.0000,0.5000,1.0000,0.0000
