time_s,leg,north_m,east_m,along_m,cross_m,agl_ft,altitude_ft,speed_kts,vertical_speed_fps,heading_deg,pitch_deg,roll_deg,aileron_cmd,elevator_cmd,rudder_cmd,throttle_cmd,flaps_cmd,gear_cmd,brake_cmd
0.128,Upwind,0.210,0.000,0.000,0.000,3.691,3.691,1.499,0.000,0.000,0.454,0.000,0.0000,0.0162,0.0000,0.0000,0.5000,1.0000,1.0000
0.231,Upwind,0.280,0.000,0.070,0.000,3.691,3.691,1.184,0.005,0.000,0.438,0.000,0.0000,0.0316,0.0000,0.0000,0.5000,1.0000,1.0000
0.425,Upwind,0.297,0.000,0.087,0.000,3.700,3.700,0.048,0.080,0.000,0.311,0.000,0.0000,0.0469,0.0000,0.0000,0.5000,1.0000,1.0000
0.643,Upwind,0.295,0.000,0.085,0.000,3.702,3.702,0.050,-0.081,0.000,0.415,0.000,0.0000,0.0679,0.0000,0.0000,0.5000,1.0000,1.0000
0.847,Upwind,0.294,0.000,0.084,0.000,3.685,3.685,0.036,-0.060,0.000,0.475,0.000,0.0000,0.0665,0.0000,0.0000,0.5000,1.0000,1.0000
1.021,Upwind,0.295,0.000,0.085,0.000,3.683,3.683,0.025,0.027,0.000,0.466,0.000,0.0000,0.0625,0.0000,0.0670,0.5000,1.0000,0.0000
1.227,Upwind,0.299,0.000,0.089,0.000,3.690,3.690,0.048,0.023,0.000,0.443,0.000,0.0000,0.0615,0.0000,0.1700,0.5000,1.0000,0.0000
1.438,Upwind,0.305,0.000,0.095,0.000,3.692,3.692,0.062,-0.002,0.000,0.445,0.000,0.0000,0.0630,0.0000,0.2755,0.5000,1.0000,0.0000
1.634,Upwind,0.312,0.000,0.103,0.000,3.691,3.691,0.086,-0.006,0.000,0.450,0.000,0.0000,0.0632,0.0000,0.3736,0.5000,1.0000,0.0000
1.836,Upwind,0.323,0.000,0.114,0.000,3.690,3.690,0.123,0.001,0.000,0.451,0.000,0.0000,0.0629,0.0000,0.4744,0.5000,1.0000,0.0000
2.042,Upwind,0.339,0.000,0.129,0.000,3.691,3.691,0.174,0.002,0.000,0.449,0.000,0.0000,0.0628,0.0000,0.5773,0.5000,1.0000,0.0000
2.227,Upwind,0.359,0.000,0.149,0.000,3.691,3.691,0.236,0.001,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.6699,0.5000,1.0000,0.0000
2.421,Upwind,0.388,0.000,0.178,0.000,3.691,3.691,0.323,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.7672,0.5000,1.0000,0.0000
2.621,Upwind,0.428,0.000,0.218,0.000,3.691,3.691,0.434,0.000,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.8667,0.5000,1.0000,0.0000
2.830,Upwind,0.486,0.000,0.276,0.000,3.691,3.691,0.572,0.000,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.9715,0.5000,1.0000,0.0000
3.031,Upwind,0.556,0.000,0.346,0.000,3.691,3.691,0.742,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
3.243,Upwind,0.646,0.000,0.436,0.000,3.691,3.691,0.970,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
3.427,Upwind,0.750,0.000,0.540,0.000,3.691,3.691,1.203,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
3.627,Upwind,0.892,0.000,0.682,0.000,3.691,3.691,1.506,0.000,0.000,0.450,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
3.838,Upwind,1.084,0.000,0.874,0.000,3.691,3.691,1.900,0.000,0.000,0.451,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
4.051,Upwind,1.326,0.000,1.116,0.000,3.691,3.691,2.332,0.000,0.000,0.451,0.000,0.0000,0.0632,0.0000,1.0000,0.5000,1.0000,0.0000
4.235,Upwind,1.575,0.000,1.365,0.000,3.691,3.691,2.840,0.000,0.000,0.451,0.000,0.0000,0.0632,0.0000,1.0000,0.5000,1.0000,0.0000
4.439,Upwind,1.902,0.000,1.692,0.000,3.691,3.691,3.378,0.000,0.000,0.452,0.000,0.0000,0.0633,0.0000,1.0000,0.5000,1.0000,0.0000
4.644,Upwind,2.295,0.000,2.085,0.000,3.691,3.691,4.113,0.000,0.000,0.452,0.000,0.0000,0.0634,0.0000,1.0000,0.5000,1.0000,0.0000
