time_s,leg,north_m,east_m,along_m,cross_m,agl_ft,altitude_ft,speed_kts,vertical_speed_fps,heading_deg,pitch_deg,roll_deg,aileron_cmd,elevator_cmd,rudder_cmd,throttle_cmd,flaps_cmd,gear_cmd,brake_cmd
0.000,Upwind,0.085,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0018,0.0000,0.0000,0.5000,1.0000,1.0000
0.193,Upwind,0.085,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0308,0.0000,0.0000,0.5000,1.0000,1.0000
0.391,Upwind,0.085,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0604,0.0000,0.0000,0.5000,1.0000,1.0000
0.589,Upwind,0.085,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.0000,0.5000,1.0000,1.0000
0.792,Upwind,0.085,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.0199,0.5000,1.0000,0.0000
0.991,Upwind,0.085,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.1193,0.5000,1.0000,0.0000
1.201,Upwind,0.085,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.2243,0.5000,1.0000,0.0000
1.394,Upwind,0.085,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.3211,0.5000,1.0000,0.0000
1.588,Upwind,0.085,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.4181,0.5000,1.0000,0.0000
1.795,Upwind,0.085,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.5215,0.5000,1.0000,0.0000
1.995,Upwind,0.085,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.449,0.000,0.0000,0.0628,0.0000,0.6214,0.5000,1.0000,0.0000
