time_s,leg,north_m,east_m,along_m,cross_m,agl_ft,altitude_ft,speed_kts,vertical_speed_fps,heading_deg,pitch_deg,roll_deg,aileron_cmd,elevator_cmd,rudder_cmd,throttle_cmd,flaps_cmd,gear_cmd,brake_cmd
0.526,Upwind,0.150,0.000,-0.060,0.000,3.691,3.691,1.561,0.000,0.000,0.454,0.000,0.0000,0.0033,0.0000,0.0000,0.5000,1.0000,1.0000
0.709,Upwind,0.230,0.000,0.020,0.000,3.693,3.693,0.059,0.042,0.000,0.369,0.000,0.0000,0.0308,0.0000,0.0000,0.5000,1.0000,1.0000
0.906,Upwind,0.230,0.000,0.020,0.000,3.705,3.705,0.032,0.024,0.000,0.346,0.000,0.0000,0.0590,0.0000,0.0000,0.5000,1.0000,1.0000
1.118,Upwind,0.228,0.000,0.018,0.000,3.694,3.694,0.059,-0.094,0.000,0.448,0.000,0.0000,0.0683,0.0000,0.0000,0.5000,1.0000,1.0000
1.308,Upwind,0.228,0.000,0.018,0.000,3.683,3.683,0.003,-0.005,0.000,0.473,0.000,0.0000,0.0646,0.0000,0.0152,0.5000,1.0000,0.0000
1.519,Upwind,0.231,0.000,0.021,0.000,3.687,3.687,0.056,0.029,0.000,0.451,0.000,0.0000,0.0615,0.0000,0.1208,0.5000,1.0000,0.0000
1.728,Upwind,0.239,0.000,0.029,0.000,3.692,3.692,0.076,0.008,0.000,0.443,0.000,0.0000,0.0624,0.0000,0.2253,0.5000,1.0000,0.0000
1.907,Upwind,0.247,0.000,0.037,0.000,3.692,3.692,0.098,-0.005,0.000,0.448,0.000,0.0000,0.0631,0.0000,0.3145,0.5000,1.0000,0.0000
2.122,Upwind,0.260,0.000,0.050,0.000,3.690,3.690,0.138,-0.002,0.000,0.451,0.000,0.0000,0.0631,0.0000,0.4223,0.5000,1.0000,0.0000
2.317,Upwind,0.276,0.000,0.066,0.000,3.691,3.691,0.184,0.002,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.5195,0.5000,1.0000,0.0000
2.511,Upwind,0.299,0.000,0.089,0.000,3.691,3.691,0.252,0.001,0.000,0.449,0.000,0.0000,0.0628,0.0000,0.6165,0.5000,1.0000,0.0000
2.720,Upwind,0.330,0.000,0.120,0.000,3.691,3.691,0.339,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.7210,0.5000,1.0000,0.0000
2.904,Upwind,0.371,0.000,0.161,0.000,3.691,3.691,0.439,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.8135,0.5000,1.0000,0.0000
3.141,Upwind,0.436,0.000,0.226,0.000,3.691,3.691,0.601,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,0.9316,0.5000,1.0000,0.0000
3.309,Upwind,0.496,0.000,0.286,0.000,3.691,3.691,0.759,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
3.525,Upwind,0.595,0.000,0.385,0.000,3.691,3.691,0.968,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
3.715,Upwind,0.701,0.000,0.491,0.000,3.691,3.691,1.221,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
3.926,Upwind,0.857,0.000,0.648,0.000,3.691,3.691,1.553,0.000,0.000,0.450,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
4.114,Upwind,1.022,0.000,0.812,0.000,3.691,3.691,1.887,0.000,0.000,0.451,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
4.318,Upwind,1.241,0.000,1.032,0.000,3.691,3.691,2.315,0.000,0.000,0.451,0.000,0.0000,0.0632,0.0000,1.0000,0.5000,1.0000,0.0000
4.505,Upwind,1.509,0.000,1.299,0.000,3.691,3.691,2.773,0.000,0.000,0.451,0.000,0.0000,0.0632,0.0000,1.0000,0.5000,1.0000,0.0000
4.717,Upwind,1.834,0.000,1.624,0.000,3.691,3.691,3.403,0.000,0.000,0.452,0.000,0.0000,0.0633,0.0000,1.0000,0.5000,1.0000,0.0000
4.908,Upwind,2.223,0.000,2.014,0.000,3.691,3.691,4.018,0.000,0.000,0.452,0.000,0.0000,0.0633,0.0000,1.0000,0.5000,1.0000,0.0000
5.122,Upwind,2.731,0.000,2.521,0.000,3.691,3.691,4.852,0.000,0.000,0.453,0.000,0.0000,0.0634,0.0000,1.0000,0.5000,1.0000,0.0000
5.324,Upwind,3.290,0.000,3.080,0.000,3.691,3.691,5.731,0.000,0.000,0.453,0.000,0.0000,0.0635,0.0000,1.0000,0.5000,1.0000,0.0000
5.505,Upwind,3.888,0.000,3.678,0.000,3.691,3.691,6.635,0.000,0.000,0.454,0.000,0.0000,0.0636,0.0000,1.0000,0.5000,1.0000,0.0000
5.732,Upwind,4.714,0.000,4.504,0.000,3.691,3.691,7.929,0.000,0.000,0.454,0.000,0.0000,0.0636,0.0000,1.0000,0.5000,1.0000,0.0000
5.910,Upwind,5.524,0.000,5.314,0.000,3.691,3.691,8.958,0.001,0.000,0.455,0.000,0.0000,0.0637,0.0000,1.0000,0.5000,1.0000,0.0000
6.126,Upwind,6.624,0.000,6.414,0.000,3.691,3.691,10.350,0.001,0.000,0.455,0.000,0.0000,0.0637,0.0000,1.0000,0.5000,1.0000,0.0000
6.314,Upwind,7.676,0.000,7.466,0.000,3.691,3.691,11.528,0.001,0.000,0.455,0.000,0.0000,0.0636,0.0000,1.0000,0.5000,1.0000,0.0000
6.507,Upwind,8.950,0.000,8.740,0.000,3.692,3.692,12.811,0.001,0.000,0.454,0.000,0.0000,0.0636,0.0000,1.0000,0.5000,1.0000,0.0000
6.736,Upwind,10.479,0.000,10.269,0.000,3.692,3.692,14.200,0.001,0.000,0.454,0.000,0.0000,0.0635,0.0000,1.0000,0.5000,1.0000,0.0000
6.924,Upwind,12.028,0.000,11.818,0.000,3.692,3.692,15.482,0.001,0.000,0.454,0.000,0.0000,0.0635,0.0000,1.0000,0.5000,1.0000,0.0000
7.127,Upwind,13.709,0.000,13.499,0.000,3.692,3.692,16.762,0.001,0.000,0.453,0.000,0.0000,0.0634,0.0000,1.0000,0.5000,1.0000,0.0000
7.322,Upwind,15.522,0.000,15.312,0.000,3.693,3.693,17.935,0.002,0.000,0.453,0.000,0.0000,0.0634,0.0000,1.0000,0.5000,1.0000,0.0000
7.535,Upwind,17.465,0.000,17.256,0.000,3.693,3.693,19.319,0.002,0.000,0.452,0.000,0.0000,0.0633,0.0000,1.0000,0.5000,1.0000,0.0000
7.731,Upwind,19.541,0.000,19.331,0.000,3.693,3.693,20.596,0.002,0.000,0.452,0.000,0.0000,0.0632,0.0000,1.0000,0.5000,1.0000,0.0000
7.930,Upwind,21.748,0.000,21.538,0.000,3.694,3.694,21.872,0.002,0.000,0.452,0.000,0.0000,0.0632,0.0000,1.0000,0.5000,1.0000,0.0000
