time_s,leg,north_m,east_m,along_m,cross_m,agl_ft,altitude_ft,speed_kts,vertical_speed_fps,heading_deg,pitch_deg,roll_deg,aileron_cmd,elevator_cmd,rudder_cmd,throttle_cmd,flaps_cmd,gear_cmd,brake_cmd
0.411,Upwind,0.077,0.000,0.077,0.000,3.691,3.691,1.077,0.002,0.000,0.454,0.000,0.0000,0.0034,0.0000,0.0000,0.5000,1.0000,1.0000
0.605,Upwind,0.122,0.000,0.122,0.000,3.692,3.692,0.038,0.037,0.000,0.379,0.000,0.0000,0.0326,0.0000,0.0000,0.5000,1.0000,1.0000
0.790,Upwind,0.122,0.000,0.122,0.000,3.703,3.703,0.023,0.024,0.000,0.356,0.000,0.0000,0.0583,0.0000,0.0000,0.5000,1.0000,1.0000
1.012,Upwind,0.120,0.000,0.120,0.000,3.694,3.694,0.047,-0.077,0.000,0.444,0.000,0.0000,0.0660,0.0000,0.0000,0.5000,1.0000,1.0000
1.216,Upwind,0.120,0.000,0.120,0.000,3.685,3.685,0.001,-0.002,0.000,0.464,0.000,0.0000,0.0636,0.0000,0.0143,0.5000,1.0000,0.0000
1.406,Upwind,0.124,0.000,0.124,0.000,3.689,3.689,0.068,0.021,0.000,0.450,0.000,0.0000,0.0620,0.0000,0.1091,0.5000,1.0000,0.0000
1.602,Upwind,0.133,0.000,0.133,0.000,3.691,3.691,0.103,0.005,0.000,0.446,0.000,0.0000,0.0626,0.0000,0.2073,0.5000,1.0000,0.0000
1.793,Upwind,0.145,0.000,0.145,0.000,3.691,3.691,0.130,-0.003,0.000,0.448,0.000,0.0000,0.0630,0.0000,0.3029,0.5000,1.0000,0.0000
1.999,Upwind,0.161,0.000,0.161,0.000,3.691,3.691,0.177,-0.001,0.000,0.450,0.000,0.0000,0.0630,0.0000,0.4059,0.5000,1.0000,0.0000
2.199,Upwind,0.183,0.000,0.183,0.000,3.691,3.691,0.236,0.001,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.5056,0.5000,1.0000,0.0000
2.405,Upwind,0.212,0.000,0.212,0.000,3.691,3.691,0.314,0.001,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.6085,0.5000,1.0000,0.0000
2.591,Upwind,0.246,0.000,0.246,0.000,3.691,3.691,0.404,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.7019,0.5000,1.0000,0.0000
2.790,Upwind,0.295,0.000,0.295,0.000,3.691,3.691,0.528,0.000,0.000,0.449,0.000,0.0000,0.0630,0.0000,0.8010,0.5000,1.0000,0.0000
3.004,Upwind,0.364,0.000,0.364,0.000,3.691,3.691,0.695,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,0.9084,0.5000,1.0000,0.0000
3.206,Upwind,0.447,0.000,0.447,0.000,3.691,3.691,0.887,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
3.404,Upwind,0.552,0.000,0.552,0.000,3.691,3.691,1.119,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
3.597,Upwind,0.683,0.000,0.683,0.000,3.691,3.691,1.399,0.000,0.000,0.450,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
3.806,Upwind,0.847,0.000,0.847,0.000,3.691,3.691,1.735,0.000,0.000,0.451,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
4.002,Upwind,1.049,0.000,1.049,0.000,3.691,3.691,2.132,0.000,0.000,0.451,0.000,0.0000,0.0632,0.0000,1.0000,0.5000,1.0000,0.0000
4.193,Upwind,1.296,0.000,1.296,0.000,3.691,3.691,2.559,0.000,0.000,0.451,0.000,0.0000,0.0632,0.0000,1.0000,0.5000,1.0000,0.0000
4.407,Upwind,1.595,0.000,1.595,0.000,3.691,3.691,3.148,0.000,0.000,0.452,0.000,0.0000,0.0633,0.0000,1.0000,0.5000,1.0000,0.0000
4.611,Upwind,1.990,0.000,1.990,0.000,3.691,3.691,3.782,0.000,0.000,0.452,0.000,0.0000,0.0633,0.0000,1.0000,0.5000,1.0000,0.0000
4.797,Upwind,2.389,0.000,2.389,0.000,3.691,3.691,4.447,0.000,0.000,0.452,0.000,0.0000,0.0634,0.0000,1.0000,0.5000,1.0000,0.0000
4.992,Upwind,2.856,0.000,2.856,0.000,3.691,3.691,5.269,0.000,0.000,0.453,0.000,0.0000,0.0635,0.0000,1.0000,0.5000,1.0000,0.0000
5.201,Upwind,3.507,0.000,3.507,0.000,3.691,3.691,6.283,0.000,0.000,0.453,0.000,0.0000,0.0635,0.0000,1.0000,0.5000,1.0000,0.0000
5.414,Upwind,4.280,0.000,4.280,0.000,3.691,3.691,7.338,0.000,0.000,0.454,0.000,0.0000,0.0636,0.0000,1.0000,0.5000,1.0000,0.0000
5.607,Upwind,5.041,0.000,5.041,0.000,3.691,3.691,8.516,0.001,0.000,0.454,0.000,0.0000,0.0637,0.0000,1.0000,0.5000,1.0000,0.0000
5.800,Upwind,5.993,0.000,5.993,0.000,3.691,3.691,9.794,0.001,0.000,0.455,0.000,0.0000,0.0637,0.0000,1.0000,0.5000,1.0000,0.0000
6.004,Upwind,7.078,0.000,7.078,0.000,3.691,3.691,11.079,0.001,0.000,0.455,0.000,0.0000,0.0636,0.0000,1.0000,0.5000,1.0000,0.0000
6.212,Upwind,8.403,0.000,8.403,0.000,3.692,3.692,12.363,0.001,0.000,0.454,0.000,0.0000,0.0636,0.0000,1.0000,0.5000,1.0000,0.0000
6.396,Upwind,9.644,0.000,9.644,0.000,3.692,3.692,13.539,0.001,0.000,0.454,0.000,0.0000,0.0636,0.0000,1.0000,0.5000,1.0000,0.0000
6.609,Upwind,11.125,0.000,11.125,0.000,3.692,3.692,14.928,0.001,0.000,0.454,0.000,0.0000,0.0635,0.0000,1.0000,0.5000,1.0000,0.0000
6.790,Upwind,12.599,0.000,12.599,0.000,3.692,3.692,16.102,0.001,0.000,0.454,0.000,0.0000,0.0635,0.0000,1.0000,0.5000,1.0000,0.0000
6.999,Upwind,14.483,0.000,14.483,0.000,3.692,3.692,17.488,0.002,0.000,0.453,0.000,0.0000,0.0634,0.0000,1.0000,0.5000,1.0000,0.0000
7.204,Upwind,16.359,0.000,16.359,0.000,3.693,3.693,18.660,0.002,0.000,0.453,0.000,0.0000,0.0633,0.0000,1.0000,0.5000,1.0000,0.0000
7.405,Upwind,18.366,0.000,18.366,0.000,3.693,3.693,20.044,0.002,0.000,0.452,0.000,0.0000,0.0633,0.0000,1.0000,0.5000,1.0000,0.0000
